,claimReview_author,claimReview_author_name,claimReview_author_url,claimReview_claimReviewed,claimReview_datePublished,claimReview_source,claimReview_url,creativeWork_author_name,creativeWork_author_sameAs,creativeWork_datePublished,extra_body,extra_entities_author,extra_entities_body,extra_entities_claimReview_claimReviewed,extra_entities_keywords,extra_refered_links,extra_tags,extra_title,rating_alternateName,rating_bestRating,rating_ratingValue,rating_worstRating
781,,,,"Headline vote intention figures from a poll of North East Somerset residents have the Lib Dems at 28%, in second place behind the Conservatives on 44%. Labour were third on 14%.
",,,https://fullfact.org/news/lib-dems-somerset-poll/,,,,,,,,,,,You need to read the small print on this Lib Dem voting intention graph,"Correct.
",,,
782,,,,"The Lib Dems quadrupled renewable power in government.
",,,https://fullfact.org/election-2019/renewable-energy-coalition/,,,,,,,,,,,Did the Lib Dems quadruple renewable energy?,"It was slightly closer to tripling than quadrupling, under the Conservative Lib Dem Coalition. But it’s difficult to attribute energy generation to any one party in government as some generators can take years to commission and build.
",,,
783,,,,“We have probably the best record of any political party in government. We nearly quadrupled renewable power for example.”,,,https://fullfact.org/election-2019/renewable-energy-coalition/,,,,,,,,,,,Did the Lib Dems quadruple renewable energy?,No verdict for Individual claims,,,
784,,,,"The Department of Health and Social Care gave private firms a record £9.2 billion in 2018.
",,,https://fullfact.org/health/record-amount-private-providers-NHS/,,,,,,,,,,,Was a record amount spent on private providers by the Department of Health?,"The department spent £9.2 billion on purchasing health care from private providers in 2018/19. That’s a record amount of spending in cash terms, but not in real terms or as a proportion of the department’s budget.
",,,
785,,,,“The Department of Health and Social Care handed a record total of £9.2bn last year to private providers”,,,https://fullfact.org/health/record-amount-private-providers-NHS/,,,,,,,,,,,Was a record amount spent on private providers by the Department of Health?,No verdict for Individual claims,,,
786,,,,"There are more GPs in the NHS today than in 2015.
",,,https://fullfact.org/health/gp-numbers-or-down/,,,,,,,,,,,GP numbers: up or down?,"Correct looking at the headcount of GPs (excluding locums) in England between September 2015 and 2018. Looking at the full-time equivalent number of this group, which gives a better idea of staffing levels, the numbers are falling.
",,,
787,,,,"GP numbers are experiencing their first sustained fall for 50 years.
",,,https://fullfact.org/health/gp-numbers-or-down/,,,,,,,,,,,GP numbers: up or down?,"Correct, looking at the number of GPs (excluding registrars, retainers and locums) per 100,000 people across the UK since 1964.
",,,
788,,,,"“Today, we learned that GP numbers are experiencing their first sustained fall for 50 years.”",,,https://fullfact.org/health/gp-numbers-or-down/,,,,,,,,,,,GP numbers: up or down?,No verdict for Individual claims,,,
789,,,,“There are actually more GPs in the NHS today than there were in 2015.”,,,https://fullfact.org/health/gp-numbers-or-down/,,,,,,,,,,,GP numbers: up or down?,No verdict for Individual claims,,,
790,,,,"Since 2010 there has been a considerable increase in homebuilding.
",,,https://fullfact.org/election-2019/one-million-houses-five-years/,,,,,,,,,,,The housing supply has increased by a million in the past five years,"Correct, the number of new homes is up since 2010.
",,,
791,,,,"The Conservatives have delivered a million homes in the last five years in England.
",,,https://fullfact.org/election-2019/one-million-houses-five-years/,,,,,,,,,,,The housing supply has increased by a million in the past five years,"A million homes have been added to the housing supply over the past five years.
",,,
792,,,,"Last year, the Conservatives delivered the highest number of homes for almost 30 years.
",,,https://fullfact.org/election-2019/one-million-houses-five-years/,,,,,,,,,,,The housing supply has increased by a million in the past five years,"Last year saw the biggest increase in the housing supply for thirty years.
",,,
793,,,,"“Since 2010 there has been a considerable increase in homebuilding. We have delivered a million homes in the last five years in England: last year, we delivered the highest number of homes for almost 30 years.”",,,https://fullfact.org/election-2019/one-million-houses-five-years/,,,,,,,,,,,The housing supply has increased by a million in the past five years,No verdict for Individual claims,,,
794,,,,"The government is spending £14 billion on primary and secondary education between now and 2022/23.
",,,https://fullfact.org/education/14bn-spent-education/,,,,,,,,,,,Is £14 billion being spent on education?,"The increase is £4.3 billion by 2022/23 once you account for inflation. The £14 billion figure is unhelpful as it is the figure you get if you add up all the extra money spent on education in each year to 2022/23 compared to 2019/20 and doesn’t account for inflation.
",,,
795,,,,“We're levelling up schools across the country by investing over £14 billion in primary and secondary education between now and 2022/23.”,,,https://fullfact.org/education/14bn-spent-education/,,,,,,,,,,,Is £14 billion being spent on education?,No verdict for Individual claims,,,
796,,,,"If you count the ballot fraud in the US election, most pollsters clearly failed. If you don’t include the fraudulent ballots, most pollsters failed on a spectacular scale.
",,,https://fullfact.org/news/express-trump-election-voter-fraud/,,,,,,,,,,,Express opinion piece wrong to allege evidence of widespread voter fraud in US elections,"There is no evidence of widespread fraudulent ballots in the US election. It is correct that the predictions of many pollsters were found to be inaccurate.
",,,
797,,,,"It defies logic that Joe Biden secured more votes that Barack Obama. If only valid votes are counted, Donald Trump and Joe Biden share the popular vote.
",,,https://fullfact.org/news/express-trump-election-voter-fraud/,,,,,,,,,,,Express opinion piece wrong to allege evidence of widespread voter fraud in US elections,"It is logical that Mr Biden received so many votes because turnout was relatively high. There is no evidence of widespread invalid votes. There is no evidence that Mr Trump and Mr Biden received the same popular vote. Mr Biden currently leads by around 4.5 million.
",,,
798,,,,"Already there is a mountain of evidence, direct and circumstantial, of widespread ballot fraud.
",,,https://fullfact.org/news/express-trump-election-voter-fraud/,,,,,,,,,,,Express opinion piece wrong to allege evidence of widespread voter fraud in US elections,"There is no evidence of widespread ballot fraud.
",,,
799,,,,"“If you count the ballot fraud, most pollsters clearly failed. If you don’t include the fraudulent ballots, most pollsters failed on a spectacular scale [...] It therefore defies logic Biden secured more votes than Barack Obama. If only valid votes are counted, Trump and Biden share the popular vote. Already, there is a mountain of evidence, direct and circumstantial, of widespread ballot fraud.”",,,https://fullfact.org/news/express-trump-election-voter-fraud/,,,,,,,,,,,Express opinion piece wrong to allege evidence of widespread voter fraud in US elections,No verdict for Individual claims,,,
800,,,,"The word “robot” means “slave” in Greek.
",,,https://fullfact.org/news/the-distant-future-the-year-2000/,,,,,,,,,,,"The word “robot” comes from Czech, not Greek like GPT-3 claims","“Robot” comes from Czech, not Greek, although it is derived from a term for forced labour.
",,,
801,,,,“Robots in Greek means “slave”.”,,,https://fullfact.org/news/the-distant-future-the-year-2000/,,,,,,,,,,,"The word “robot” comes from Czech, not Greek like GPT-3 claims",No verdict for Individual claims,,,
802,,,,"Betting on online slot machines has increased by 25% during lockdown.
",,,https://fullfact.org/news/spending-on-online-slot-machines-didnt-go-up-25-in-lockdown/,,,,,,,,,,,Spending on online slot machines didn’t go up 25% in lockdown,"Incorrect. Betting on online slot machines fell during the lockdown but the number of players increased 25% between March 2019 and March 2020.
",,,
803,,,,“Shocking figures from regulator the Gambling Commission reveal that betting on online slot machines has increased by 25% during lockdown.”,,,https://fullfact.org/news/spending-on-online-slot-machines-didnt-go-up-25-in-lockdown/,,,,,,,,,,,Spending on online slot machines didn’t go up 25% in lockdown,No verdict for Individual claims,,,
804,,,,"Celine Dion reacted to a fan singing ‘I Surrender’ to her by winding up her window.
",,,https://fullfact.org/news/celine-dion/,,,,,,,,,,,"No, Celine Dion didn’t wind her car window up while a fan was singing to her","This video is edited. In the original Celine Dion listens to the singer.
",,,
805,,,,"100 companies are responsible for 71% of global emissions.
",,,https://fullfact.org/news/are-100-companies-causing-71-carbon-emissions/,,,,,,,,,,,Are 100 companies causing 71% of carbon emissions?,"Of the estimated greenhouse gas emissions from human activity (excluding certain sources like agricultural methane) between 1988 and 2015, 71% originated from 100 fossil fuel producers. This includes the emissions released when the fossil fuels they sold were subsequently used by their customers.
",,,
806,,,,"“But part of the problem is, when you know that 100 companies are responsible for 71% of global emissions…”",,,https://fullfact.org/news/are-100-companies-causing-71-carbon-emissions/,,,,,,,,,,,Are 100 companies causing 71% of carbon emissions?,No verdict for Individual claims,,,
807,,,,"Since 2010 a million more households are stuck renting from a private landlord. More than 11 million people rent from a private landlord and many of them are at the sharp end of the housing crisis.
",,,https://fullfact.org/election-2019/labour-eleven-million-rent/,,,,,,,,,,,There are 11 million people in the private rented sector,"The numbers on the scale of private renting are accurate.
",,,
808,,,,"Relative child poverty has increased for three consecutive years and now stands at 4.1 million, or 30% of children.
",,,https://fullfact.org/economy/child-poverty-increasing-and-decreasing-same-timeheres-why/,,,,,,,,,,,Child poverty is increasing and decreasing at the same time—here’s why,"Correct, looking at relative poverty after housing costs. Over the long term, absolute child poverty in the UK is down while relative child poverty is stable, after housing costs.
",,,
809,,,,"“Relative child poverty has increased for three consecutive years and now stands at 4.1 million, or 30 per cent of children.”",,,https://fullfact.org/economy/child-poverty-increasing-and-decreasing-same-timeheres-why/,,,,,,,,,,,Child poverty is increasing and decreasing at the same time—here’s why,No verdict for Individual claims,,,
810,,,,"Mass immigration has depressed wages, especially on the low skill level.
",,,https://fullfact.org/immigration/immigration-wages/,,,,,,,,,,,What does immigration do to wages?,"Studies find that immigration affects low-waged workers the most negatively. They disagree on whether it has been good or bad for wages overall but tend to show that the effect is small and also short-term.
",,,
811,,,,"There is little evidence that falling wages are being caused by migration, aside from in construction.
",,,https://fullfact.org/immigration/immigration-wages/,,,,,,,,,,,What does immigration do to wages?,"Studies find that immigration affects low-waged workers the most, in low-skilled and semi-skilled jobs generally not just in construction.
",,,
812,,,,"“I agree that unfettered mass immigration has been used to depress wages, especially on the low skill level.”",,,https://fullfact.org/immigration/immigration-wages/,,,,,,,,,,,What does immigration do to wages?,No verdict for Individual claims,,,
813,,,,"“If you look at the evidence of why we have seen wages going down, there is actually very little evidence that that is being caused by migration, aside from in construction.”",,,https://fullfact.org/immigration/immigration-wages/,,,,,,,,,,,What does immigration do to wages?,No verdict for Individual claims,,,
814,,,,"Funding for schools is down by 8% in real terms.
",,,https://fullfact.org/education/school-spending-figures-misleading/,,,,,,,,,,,Government school spending figures: correct but misleading,"Correct. The IFS says spending per pupil in England fell by 8% in real terms from 2009/10 to 2017/18, and will be held constant from 2017/18 to 2019/20.
",,,
815,,,,"The OECD has ranked the UK as the third highest for education funding.
",,,https://fullfact.org/education/school-spending-figures-misleading/,,,,,,,,,,,Government school spending figures: correct but misleading,"This includes private spending, so isn’t an accurate reflection of government funding.  In terms of public spending on education, as a percentage of GDP, the UK ranked joint-fourteenth out of 34 OECD countries that provided data in 2015. Education spending in the UK is devolved.
",,,
816,,,,"The IFS found that real terms per pupil funding in 2020 will be over 50 per cent higher than it was in 2000.
",,,https://fullfact.org/education/school-spending-figures-misleading/,,,,,,,,,,,Government school spending figures: correct but misleading,"The IFS says: “The average level of spending per pupil by primary and secondary schools rose by around 5% per year in real terms during the 2000s and was then largely protected in real terms under the coalition government. Spending per pupil fell 4% in real terms between 2015–16 and 2017–18, but will be held constant in real terms up to 2019–20.”
",,,
817,,,,"There is more money going into our schools than ever before—a record £43.5 billion by 2020.
",,,https://fullfact.org/education/school-spending-figures-misleading/,,,,,,,,,,,Government school spending figures: correct but misleading,"That’s not a helpful figure as it doesn’t account for inflation or pupil numbers.  Spending per pupil in England fell by 8% in real terms from 2009/10 to 2017/18, and will be held constant from 2017/18 to 2019/20.
",,,
818,,,,“there is more money going into our schools than ever before—a record £43.5 billion by 2020… the IFS found that real terms per pupil funding in 2020 will be over 50 per cent higher than it was in 2000. It is true to say that the OECD has ranked the UK as the third highest for education funding… this includes tertiary and private education for every country.”,,,https://fullfact.org/education/school-spending-figures-misleading/,,,,,,,,,,,Government school spending figures: correct but misleading,No verdict for Individual claims,,,
819,,,,"""We have consistently argued that funding for schools is down by 8% in real terms. The National Audit Office agrees, the Institute of Fiscal Studies agrees, parents can see it is true, as can the electorate.""",,,https://fullfact.org/education/school-spending-figures-misleading/,,,,,,,,,,,Government school spending figures: correct but misleading,No verdict for Individual claims,,,
820,,,,"We have 100,000 vacancies in our NHS.
",,,https://fullfact.org/health/nhs-vacancies/,,,,,,,,,,,"Are there 100,000 vacancies in the NHS?","NHS Improvement says there were 97,000 vacancies in NHS trusts in England between October-December 2017. It’s based on management information and is not an official statistic, so should be treated with some caution. Many of these “vacancies” are currently filled by temporary staff.
",,,
821,,,,"Theresa May refuses to allow the very best international doctors to come here to care for our sick.
",,,https://fullfact.org/health/nhs-vacancies/,,,,,,,,,,,"Are there 100,000 vacancies in the NHS?","The government limits the number of Tier 2 visas it grants each month. These are what non-EEA medical staff need to work in the UK. Nurses get priority access to these visas, but there are reports of some doctors being refused them due to government caps.
",,,
822,,,,"“We have 100,000 vacancies in our NHS yet Theresa May refuses to allow the very best international doctors to come here to care for our sick.”",,,https://fullfact.org/health/nhs-vacancies/,,,,,,,,,,,"Are there 100,000 vacancies in the NHS?",No verdict for Individual claims,,,
823,,,,"British old age pensioners get £106 a week.
",,,https://fullfact.org/online/pensioners-refugees-benefits/,,,,,,,,,,,Viral image about pensioners and refugees is wrong on every single number,"A full British state pension is worth £125.95 or £164.35 a week before top-ups (depending on when you were born).
",,,
824,,,,"Immigrants/refugees living in the UK get a weekly allowance of £250.
",,,https://fullfact.org/online/pensioners-refugees-benefits/,,,,,,,,,,,Viral image about pensioners and refugees is wrong on every single number,"Incorrect. People given refugee status in the UK are not entitled to any special allowances, but can claim the same benefits as any UK citizen. Asylum seekers are entitled to £37.75 per week and accommodation if they are homeless and can’t afford food.
",,,
825,,,,"British old age pensioners get a weekly spouse allowance of £25 a week.
",,,https://fullfact.org/online/pensioners-refugees-benefits/,,,,,,,,,,,Viral image about pensioners and refugees is wrong on every single number,"A state pensioner may get an “Adult Dependency Increase” worth up to £68.35 a week if they have a partner who is financially dependent on them. They must have claimed before 2010 and it will no longer be paid from April 2020.
",,,
826,,,,"Illegal immigrants and refugees living in Britain get a weekly spouse allowance of £225.
",,,https://fullfact.org/online/pensioners-refugees-benefits/,,,,,,,,,,,Viral image about pensioners and refugees is wrong on every single number,"Incorrect. There is no weekly spouse allowance for refugees. People staying in the UK illegally are not entitled to claim any benefits.
",,,
827,,,,"British old age pensioners get a weekly hardship allowance of £0.
",,,https://fullfact.org/online/pensioners-refugees-benefits/,,,,,,,,,,,Viral image about pensioners and refugees is wrong on every single number,"Correct, insofar as the “weekly hardship allowance” doesn’t exist. Pensioners can claim additional benefits to help with their income.
",,,
828,,,,"Illegal immigrants and refugees living in Britain get a weekly hardship allowance of £100.
",,,https://fullfact.org/online/pensioners-refugees-benefits/,,,,,,,,,,,Viral image about pensioners and refugees is wrong on every single number,"Incorrect. This allowance does not exist.
",,,
829,,,,"A British old age pensioner gets a yearly benefit of £6,000.
",,,https://fullfact.org/online/pensioners-refugees-benefits/,,,,,,,,,,,Viral image about pensioners and refugees is wrong on every single number,"A full British state pension is worth up to £6,500 or £8,500 per year. Pensioners may also qualify for top-ups, partner support, and additional benefits.
",,,
830,,,,"Illegal immigrants and refugees living in Britain get a yearly benefit of £29,900.
",,,https://fullfact.org/online/pensioners-refugees-benefits/,,,,,,,,,,,Viral image about pensioners and refugees is wrong on every single number,"Incorrect. People who are staying in the UK illegally cannot claim any benefits. People living in the UK as refugees are entitled to the same benefit and pension payments as any UK citizen. This means it’s theoretically possible for them to get that sum, but it’s highly unlikely due to the benefit cap.
",,,
831,,,,"UK sick pay is 28 weeks. The EU does not set a minimum sick pay.
",,,https://fullfact.org/economy/uk-eu-workers-rights-maternity/,,,,,,,,,,,"UK workers’ rights: what are the rules on sick pay, maternity and annual leave?","Correct.
",,,
832,,,,"In the UK we get 5.6 weeks of paid holiday. The EU sets paid holiday at four weeks.
",,,https://fullfact.org/economy/uk-eu-workers-rights-maternity/,,,,,,,,,,,"UK workers’ rights: what are the rules on sick pay, maternity and annual leave?","Correct. Those are minimum standards.
",,,
833,,,,"In the UK we get 52 weeks of maternity pay. The EU sets maternity pay at 14 weeks.
",,,https://fullfact.org/economy/uk-eu-workers-rights-maternity/,,,,,,,,,,,"UK workers’ rights: what are the rules on sick pay, maternity and annual leave?","This is incorrect for the UK. Maternity pay can be for up to 39 weeks. The EU minimum standard is 14 weeks of paid maternity leave.
",,,
834,,,,"The UK minimum wage is £8.21, and is soon to be £10.50. The EU hasn’t set a minimum wage.
",,,https://fullfact.org/economy/uk-eu-workers-rights-maternity/,,,,,,,,,,,"UK workers’ rights: what are the rules on sick pay, maternity and annual leave?","That’s the minimum wage for people over 25 in the UK. The Conservatives have pledged to raise the minimum for every over 21 to £10.50 by 2024 but it’s not yet law. It’s correct that the EU doesn’t set a minimum wage.
",,,
835,,,,"What is it that @UKLabour are trying protect? 🥀
🇬🇧 Sick Pay: 28 weeks
🇪🇺: None set
🇬🇧 Holiday Pay: 5.6 weeks
🇪🇺: 4 weeks
🇬🇧 Maternity Pay: 52 weeks
🇪🇺: 14 weeks
🇬🇧 Minimum Wage: £8.21 soon be be £10.50
🇪🇺: None set",,,https://fullfact.org/economy/uk-eu-workers-rights-maternity/,,,,,,,,,,,"UK workers’ rights: what are the rules on sick pay, maternity and annual leave?",No verdict for Individual claims,,,
836,,,,"“Our boys” didn’t change the handball and VAR rules in association football.
",,,https://fullfact.org/europe/Holloway-handball-var-eu/,,,,,,,,,,,Did “our boys” change the handball rule?,"Changes to the VAR rules were made unanimously by IFAB. British football associations had the ability to veto this change, but all four voted in favour. Details of the vote to change the handball rule have not yet been released, but at least two of the four British FAs would have had to vote in favour of it.
",,,
837,,,,"[On the VAR decision to disallow a Manchester City goal for handball in their 2-2 draw against Tottenham Hotspur]
“So I don’t think that’s our boys making up that new change of law. I think that’s people telling us what we should do with our game. They should stop doing that. I hope we get out of Brexit because that’s what we all voted for. And sort that out because you cannot have someone telling us how to do our own game.",,,https://fullfact.org/europe/Holloway-handball-var-eu/,,,,,,,,,,,Did “our boys” change the handball rule?,No verdict for Individual claims,,,
838,,,,"People in Poland retire at 60.
",,,https://fullfact.org/online/france-germany-working-week/,,,,,,,,,,,UK taxpayers aren’t subsidising France’s 35-hour working week,"The retirement age for women in Poland is 60—the lowest level in the EU. For men it’s 65 (which is the most common retirement age for men and women in EU countries).
",,,
839,,,,"The working week in France is 35 hours.
",,,https://fullfact.org/online/france-germany-working-week/,,,,,,,,,,,UK taxpayers aren’t subsidising France’s 35-hour working week,"Correct. A full working week in France is officially set at 35 hours. Many employees agree to work more than 35 hours per week—but they will be compensated for this, for example through additional holiday.
",,,
840,,,,"The working week in Germany is 28 hours.
",,,https://fullfact.org/online/france-germany-working-week/,,,,,,,,,,,UK taxpayers aren’t subsidising France’s 35-hour working week,"This is only for some workers. In 2018, Germany’s largest trade union won a two-year deal for its 900,000 members to work a 28-hour week. German employees can work up to 40 hours a week. If they work longer than this, they must be compensated through additional holiday.
",,,
841,,,,"We make one of the biggest contributions to the EU budget.
",,,https://fullfact.org/online/france-germany-working-week/,,,,,,,,,,,UK taxpayers aren’t subsidising France’s 35-hour working week,"Correct.  The UK contributes roughly the third largest sum of money into the EU budget behind Germany and France, and a similar amount to Italy.
",,,
842,,,,"Poland, France and Germany have cheap travel and utilities subsidised by Europe.
",,,https://fullfact.org/online/france-germany-working-week/,,,,,,,,,,,UK taxpayers aren’t subsidising France’s 35-hour working week,"Some of the EU budget is invested in transport and energy programmes. But it does not simply subsidise existing services for EU citizens. The UK is also a recipient of this funding.
",,,
843,,,,"Theresa May has increased subsidies for grouse shooting from £45 million to £84 million a year.
",,,https://fullfact.org/environment/does-government-subsidise-grouse-shooting/,,,,,,,,,,,Does the government subsidise grouse shooting?,"Moorland in England used for grouse shooting is eligible for agricultural subsidy, though the act of shooting itself isn’t subsidised.

Data on the total subsidy paid to grouse moors isn’t published, though the £45 and £84 million figures are likely to be overestimates.
",,,
844,,,,“Why has Theresa May just increased taxpayer subsidies for her wealthy mates’ sport of grouse shooting from £45 million to £84 million a year?”,,,https://fullfact.org/environment/does-government-subsidise-grouse-shooting/,,,,,,,,,,,Does the government subsidise grouse shooting?,No verdict for Individual claims,,,
845,,,,"Since 2000 we’ve given the EU £100 billion more than we’ve got back.
",,,https://fullfact.org/europe/claim-about-uks-eu-contribution-correct-meaningless/,,,,,,,,,,,"This claim about the UK's EU contribution is correct, but meaningless","Broadly correct. Since 2000 the UK has made a net contribution in cash terms of £109 billion. That’s £122 billion in real terms.
",,,
846,,,,"The UK gives the EU £12 billion per year.
",,,https://fullfact.org/europe/claim-about-uks-eu-contribution-correct-meaningless/,,,,,,,,,,,"This claim about the UK's EU contribution is correct, but meaningless","Incorrect. Last year the UK made a net contribution of up to £9 billion (not counting any money that goes to the UK private sector).
",,,
847,,,,"The UK’s net EU contribution is larger than 26 EU nations combined (all but Germany).
",,,https://fullfact.org/europe/claim-about-uks-eu-contribution-correct-meaningless/,,,,,,,,,,,"This claim about the UK's EU contribution is correct, but meaningless","Technically correct, but this statistic is meaningless. In 2017 the UK’s net contribution to the EU was 18% of all net contributors.
",,,
848,,,,"Theresa May has agreed a £39 billion Brexit bill with the EU.
",,,https://fullfact.org/europe/claim-about-uks-eu-contribution-correct-meaningless/,,,,,,,,,,,"This claim about the UK's EU contribution is correct, but meaningless","The UK government has agreed to a Brexit bill in principle, though an exact amount hasn’t been confirmed. The latest estimates suggest it will be around £35-39 billion.
",,,
849,,,,“The UK’s net EU contribution is larger than 26 EU nations combined (all but Germany).”,,,https://fullfact.org/europe/claim-about-uks-eu-contribution-correct-meaningless/,,,,,,,,,,,"This claim about the UK's EU contribution is correct, but meaningless",No verdict for Individual claims,,,
850,,,,“Since 2000 we’ve given the EU £100bn more than we’ve got back.”,,,https://fullfact.org/europe/claim-about-uks-eu-contribution-correct-meaningless/,,,,,,,,,,,"This claim about the UK's EU contribution is correct, but meaningless",No verdict for Individual claims,,,
851,,,,“The UK gives the EU £12 billion per year.”,,,https://fullfact.org/europe/claim-about-uks-eu-contribution-correct-meaningless/,,,,,,,,,,,"This claim about the UK's EU contribution is correct, but meaningless",No verdict for Individual claims,,,
852,,,,"The UK is one of the three countries that puts the most money into the EU budget.
",,,https://fullfact.org/europe/uk-one-biggest-contributors-eu-budget/,,,,,,,,,,,The UK is one of the biggest contributors to the EU budget,"Correct.
",,,
853,,,,"“With all the money that we put into it (the EU), we are one of the three countries that put the most money into it”.",,,https://fullfact.org/europe/uk-one-biggest-contributors-eu-budget/,,,,,,,,,,,The UK is one of the biggest contributors to the EU budget,No verdict for Individual claims,,,
854,,,,"The UK could not bring in safer lorry designs until the EU legislated on the matter.
",,,https://fullfact.org/europe/eu-rules-safer-lorries/,,,,,,,,,,,Do EU rules prevent safer lorries?,"The EU sets rules on permitted lorry dimensions, which we have to follow. But the EU voted to allow safer lorry designs in 2014, a plan which the UK government initially opposed.
",,,
855,,,,"“Indeed we seem to have gone backwards since the last Chequers meeting in February, when I described my frustrations, as Mayor of London, in trying to protect cyclists from juggernauts. We had wanted to lower the cabin windows to improve visibility; and even though such designs were already on the market, and even though there had been a horriﬁc spate of deaths, mainly of female cyclists, we were told that we had to wait for the EU to legislate on the matter… If a country cannot pass a law to save the lives of female cyclists - when that proposal is supported at every level of UK government - then I don't see how that country can truly be called independent.”",,,https://fullfact.org/europe/eu-rules-safer-lorries/,,,,,,,,,,,Do EU rules prevent safer lorries?,No verdict for Individual claims,,,
856,,,,"The UK gets more in EU research funding than it puts in.
",,,https://fullfact.org/europe/eu-research-funding-uk/,,,,,,,,,,,EU research funding,"Correct, although the UK pays more into the EU budget overall than it gets out.
",,,
857,,,,"“Just in terms of research financing—I’m an academic—8.8 billion is what the UK has gotten from the European Union in the last five years, while they only contributed 5.4 billion. We have been net beneficiaries of the European Union.”",,,https://fullfact.org/europe/eu-research-funding-uk/,,,,,,,,,,,EU research funding,No verdict for Individual claims,,,
858,,,,"Tax evasion and tax avoidance costs the government £34 billion a year.
",,,https://fullfact.org/economy/tax-avoidance-evasion-uk/,,,,,,,,,,,Tax: evasion and avoidance in the UK,"This is wrong, according to the estimates it's using. HMRC estimates that £2.7 billion was lost through tax avoidance and £4.4 billion through tax evasion in 2013/14. £34 billion is the total value of tax that goes uncollected.
",,,
859,,,,“HMRC estimates that illegal tax evasion and legal tax avoidance together cost the government about £34 billion a year”.,,,https://fullfact.org/economy/tax-avoidance-evasion-uk/,,,,,,,,,,,Tax: evasion and avoidance in the UK,No verdict for Individual claims,,,
860,,,,"Leaving the EU would or could cut net migration by 100,000
",,,https://fullfact.org/europe/net-migration-fall-100000-uk-left-eu/,,,,,,,,,,,"Would net migration fall by 100,000 if the UK left the EU?","Nobody knows. It’s an unofficial “ball park figure” for one possible exit scenario and the prediction depends on assumptions which might or might not come true.
",,,
861,,,,"Leaving EU 'would cut migration by 100,000' - Migration Watch",,,https://fullfact.org/europe/net-migration-fall-100000-uk-left-eu/,,,,,,,,,,,"Would net migration fall by 100,000 if the UK left the EU?",No verdict for Individual claims,,,
862,,,,"EU immigrants pay £1.34 in taxes for every £1 they receive in state assistance
",,,https://fullfact.org/immigration/do-eu-immigrants-contribute-134-every-1-they-receive/,,,,,,,,,,,Do EU immigrants contribute £1.34 for every £1 received from the UK?,"Research has found this for recent immigrants from other EU countries, but counting those who came before 2000 reduces this figure. This is a difficult thing to measure, and other research has different findings.
",,,
863,,,,“EU migrants pay £1.34 in taxes for every £1 they receive in state assistance”,,,https://fullfact.org/immigration/do-eu-immigrants-contribute-134-every-1-they-receive/,,,,,,,,,,,Do EU immigrants contribute £1.34 for every £1 received from the UK?,No verdict for Individual claims,,,
864,,,,"EU airports are punishing Britain for Brexit with long queues caused by tougher security checks. 
",,,https://fullfact.org/europe/european-airport-delays-brexit-blame/,,,,,,,,,,,European airport delays—is Brexit to blame?,"The stricter EU border controls were proposed six months before the EU referendum in December 2015 and came into force in April 2017. The controls affect all passengers entering and leaving the European border-free Schengen area, not just UK citizens.
",,,
865,,,,“MPs hit back after passengers blame huge passport queues at European airports on decision to leave EU – even though it has nothing to do with vote”,,,https://fullfact.org/europe/european-airport-delays-brexit-blame/,,,,,,,,,,,European airport delays—is Brexit to blame?,No verdict for Individual claims,,,
866,,,,“New border rules are just EU’s bid to punish Britain”,,,https://fullfact.org/europe/european-airport-delays-brexit-blame/,,,,,,,,,,,European airport delays—is Brexit to blame?,No verdict for Individual claims,,,
867,,,,"Cuts to tax credits will cost low-paid working families £1,300 a year.
",,,https://fullfact.org/economy/will-changes-tax-credits-cost-families-1300-year/,,,,,,,,,,,"Will changes to tax credits cost families £1,300 a year?","£1,300 is a ""rough"" estimate of the average reduction in income next year (2016/17).
",,,
868,,,,"""The Tory conference was a feast of spin and deception. Fake claims to be on the side of working people while robbing three million low paid families of £1,300 a year with the Tax Credit cuts.""",,,https://fullfact.org/economy/will-changes-tax-credits-cost-families-1300-year/,,,,,,,,,,,"Will changes to tax credits cost families £1,300 a year?",No verdict for Individual claims,,,
869,,,,"Poverty is being redefined to remove any reference to income.
",,,https://fullfact.org/economy/ask-full-fact-poverty-being-redefined-remove-any-reference-income/,,,,,,,,,,,Ask Full Fact: is poverty being redefined to remove any reference to income?,"A bill going through Parliament contains plans to replace existing income indicators of child poverty with ones that focus on worklessness and educational attainment. The annual statistics on the income measures will still be published but they won't be the government's main poverty indicators.
",,,
870,,,,"Per head, Norway pays almost the same amount into the EU budget as the UK.
",,,https://fullfact.org/europe/norway-eu-payments/,,,,,,,,,,,Norway's EU payments,"Norway’s payments linked to its relationship with the EU are around two thirds of what the UK pays per head of population, before money comes back. Comparing payments after money comes back is difficult, but seems to narrow the gap still further.
",,,
871,,,,"In January 2020 a new EU law means anyone who has an offshore bank account will have to “come clean so we can see how much they are hiding”.
",,,https://fullfact.org/online/brexit-not-concealing-offshore-accounts/,,,,,,,,,,,Claim Brexit is about concealing offshore accounts is baseless,"Incorrect. There is no such EU law coming into place.
",,,
872,,,,“come January 2020 the EU are bringing in a law saying that anyone who has a Off shore account will have to come clean so we can see how much they are hiding and to see if it can be taxed. No longer being able to get away with tax avoidance & evasion is what Brexit is about”,,,https://fullfact.org/online/brexit-not-concealing-offshore-accounts/,,,,,,,,,,,Claim Brexit is about concealing offshore accounts is baseless,No verdict for Individual claims,,,
